year,month,month_name,new_cases,new_deaths,total_cases,total_deaths,vaccinated_percent
2020,1,January,0.0,0.0,0.0,0.0,0.0
2020,2,February,7.0,0.0,7.0,0.0,0.0
2020,3,March,972.0,25.0,979.0,25.0,0.0
2020,4,April,25517.0,799.0,26496.0,824.0,0.0
2020,5,May,155647.0,4340.0,182143.0,5164.0,0.0
2020,6,June,346716.0,10931.0,528859.0,16095.0,0.0
2020,7,July,856663.0,15968.0,1385522.0,32063.0,0.0
2020,8,August,2157211.0,31435.0,3542733.0,63498.0,0.0
2020,9,September,2449799.0,31005.0,5992532.0,94503.0,0.0
2020,10,October,1872279.0,24031.0,7864811.0,118534.0,0.0
2020,11,November,1528108.0,18162.0,9392919.0,136696.0,0.0
2020,12,December,794931.0,10926.0,10187850.0,147622.0,0.0
2021,1,January,558333.0,6652.0,10746183.0,154274.0,0.0
2021,2,February,350548.0,2777.0,11096731.0,157051.0,0.17331622829538285
2021,3,March,874893.0,4501.0,11971624.0,161552.0,0.6586841697928902
2021,4,April,4988548.0,30759.0,16960172.0,192311.0,1.8784688069725737
2021,5,May,10934628.0,133661.0,27894800.0,325972.0,3.052471810924554
2021,6,June,2338383.0,69779.0,30233183.0,395751.0,4.07488084448003
2021,7,July,1138718.0,24800.0,31371901.0,420551.0,7.176128629930548
2021,8,August,1323129.0,17279.0,32695030.0,437830.0,10.429011100633916
2021,9,September,957715.0,9088.0,33652745.0,446918.0,16.75703875896263
2021,10,October,620555.0,11268.0,34273300.0,458186.0,23.2214834839656
2021,11,November,299223.0,10368.0,34572523.0,468554.0,31.612294904379784
2021,12,December,214279.0,11128.0,34786802.0,479682.0,42.56535863451884
